prod,author,date,review_format,stars,comments
Deep Work (Rules for Focused Success in a Distracted World),Timothy Kenny,"January 8, 2016",Verified Purchase,5,"









  
  
    
  Deep Work is the execution/tactical companion to Newport's last book, So Good They Can't Ignore You and it doesn't disappoint.These books should be taken together as a whole because they give you the WHAT, the WHY and the HOW for being an elite knowledge worker.So Good they Can't Ignore you shows you why building valuable and rare skills, which Newport calls ""career capital"" is the number one most important thing for finding a job you love (not ""finding your passion""). Building that capital allows you to find a job where you can have creative control over your work and more control over your time, which allows you to do ""deep work,"" aka deliberate practice (and the 10,000 hour rule for expertise, Gladwell, Ericsson and others). There are also 2 other factors, choosing a domain or mission or project where you will have a postive impact on the world, and choosing to work with people who you like being around, which aren't covered much but Newport assumes you should be able to figure out on your own.Summary of what you need to be So Good They Can't Ignore You1. Rare and valuable skills (aka career capital)2. Creative control over projects3. Control over your time (which allows you to do deep work, virtuous cycle)4. Work that has a positive impact on the world5. Working with people you enjoy being withHere's the formula:-Use deep work to learn fast and build up rare and valuable skills.-Then apply these rare and valuable skills to the right projects so that you can build up career capital.-Then cash in the career capital to get more creative and time control over your job.-All the while, try to pick jobs and projects that have a positive impact and allow you to work with good people.-However, these are usually also things that you need to trade in your career capital (rare skills and experience using them) in order to maximize.-Don't try to save the world or have a big impact until you have the career capital to match. Otherwise you will probably fail. You have to earn all these perks via building career capital by using deep work.So Good They Can't Ignore You doesn't spend much time explaining how to actually implement deep work (deliberate practice) into you life. It tells you to focus deeply, stretch yourself cognitively and get constant high quality feedback on your work/output.That's where Deep Work comes in. Deep Work shows you exactly WHY deep work is so important (as opposed to Shallow Work), especially for modern knowledge workers, and why the way most people work, with constant interruptions from social media, email and their phones, is holding most knowledge workers back from  being successful and competitive in today's job market.The first part of the book argues for why Deep Work is important. If you have already bought into the idea, you can skim this part, but I found the examples and people he featured to be very interesting so it's worth a read. Just don't expect a lot of tactics until part 2.Chapter 1 explains why deep work is VALUABLE. Our economy is changing, and the days of doing the same thing over and over for 40 years until you retire are over. Newport lays out an interesting theory for 3 types of workers, Superstars, Owners and High Skill Workers and makes a convincing and important argument for the importance in the future of being able to work at higher levels of abstraction and work with intelligent machines.In this chapter he also makes a case for the two critical skills for knowledge workers:1.  Learning Quickly2. Producing at an Elite LevelThis conclusion informs the rest of the book. If you want to be good at these two skills, the most important thing to be good at is deep work.Chapter 2 focuses on why deep work is RARE. He shows how distractions are becoming more and more common for knowledge workers, and that attention is becoming more and more fractures. Newport makes a good case for how complex knowledge work is often hard to measure, so managers measure busyness instead of output that relates to bottom line results (KPIs). Busyness as a vanity metric. People end up optimizing for looking busy instead of getting real work done, and everybody plays along with this charade.Chapter 3 goes into why deep work is MEANINGFUL. Meaning is a key part of Newport's argument because the whole book links back to the Passion vs. Rare Skills debateÃ¢â‚¬Â¦which is a better strategy for finding a job you love? If the job isn't meaningful, then deep work doesn't fully answer the question of how to best find a job you love.  Newport give 3 theories on why deep work is meaningful, a psychological, neurological and a philosophical reason.That's it for part 1.In Part 2, Newport tells you how to implement deep work into your day to day life with 4 rules.Rule 1 gives you a bunch of strategies and examples of how to integrate deep work into your schedule.  He offers different strategies depending on what kind of work you do. The Grand Gestures part of this chapter is really good, you learn about Bill Gates Think Week and same famous authors who go to secluded islands or build cabins to get a lot of deep work done when necessary. There is also a section here on execution using the 4 Disciplines from Clayton Christensen's work. The point on lead vs. lag measures is really good.Rule 2 covers the idea of embracing boredom. Newport gives a number of strategies for doing two important things: improving your ability to focus and eliminating your desire for distraction. At first these seem like the same thing but Newport explains why they are actually two different skills. For example, someone who is constantly switching between social media and infotainment sites can block off time for deep work but they won't be able to focus if they can't control their desire to always have instant gratification and constant stimulus. The point about making deep work your default, and scheduling shallow work in between is also a game changer.Rule 3 is about social media sites and infotainment sites. This rule isn't as strategic as the other ones, it's mostly about making a side argument that these networking sites aren't as important is you think they are. He gives some good strategies for measuring what sites and services you should include in your day to day life based on the total collection of all the positive and negative effects. This sort of critical thinking and measurement usually doesn't get applied to these kind of sites.Rule 4 is about draining the shallows, meaning going through the process of eliminating as much as possible shallow work from your daily schedule. This is more tactical chapter, (This and Rule 1 are the most useful of the 4) you learn how to plan out your day, how to stop from bringing your work home with you with an end of day ritual and how to manage your email so that you cut down on the amount of time you spend in your inbox each day. There is also a strategy for how to talk to your boss about deep work so you can get permission to re-arrange your schedule to be more productive.Overall Thoughts:This book, and Newport's previous book So Good They Can't Ignore You, are some of the most important books you will read on planning your career.Most people spend little to no time on these decisions, or just go with the flow or with how other people approach things, even though this planning process will affect the next 4 to 5 decades of their life.Most people's thinking is still stuck in the industrial economy way of thinkingÃ¢â‚¬Â¦it makes sense thought, our education system is also stuck in this way of thinking. Deep work gives you a solid, actionable plan and doesn't leave anything out that I can think of.

  
"
Deep Work (Rules for Focused Success in a Distracted World),AB,"January 9, 2016",Verified Purchase,3,"









  
  
    
  I have generally been a fan of Cal's work, but had a mixed view on this book.  TL DR: It has some good actionable steps, but with a lot of fluff about being more counter-culture and revolutionary than it is or needs to have.The Good1. Cal highlights actionable ways to 1) increase concentration and focus and 2) produce more work output.  He specifically delineates between ""shallow"" low priority work and ""deep"" high-priority, high-payoff work and ways to identify which types of work fall into which category.2. Cal anticipates more of the (valid) objections and nuances to his thesis than I've seen him do previously.  I thought his discussions on professions like CEOs that might not be deep-work appropriate, different ways to think about what social media improves your life, and going off-schedule to pursue an insight made the book much more well-rounded and connected to life.The Not-so-good1. The book is written as if it's presenting ""a new, flashy, grand theory of everything"".  It's not that.  The idea of working in a deep, focused manner isn't a new one or one that would shock people (as the book's extensive citations show).  But the book puts up a very intense battle against an army of straw men.  I don't think you'd find anyone who disagrees with the general notion of working intensely on your priorities; it's making your life conducive to it (and getting done what you aim to get done when you sit down) that's the hard part.  So the book feels more to me like ideas you'd share with friends about how to be more productive than a revolutionary new idea, but you have to wade through *pages* of why this is *life-changing* and *flashy* to get to the more useful actionable steps.2. I think that deep work is a very large umbrella term that could be broken down.  For example, the way in which brainstorming or writing an academic paper stretches your brain is very different from the way in which editing a paper (p. 228) stretches your brain.  Cal identifies all of these as deep work, but more thought on how you attack very different types of deep work would be helpful.  For example, the open-ended process of generating an idea and getting it on to paper requires a different process than the mind-numbing tedium of final paper edits.  I would have liked more thinking through the ""initial attack"" and then the ""follow-through"".

  
"
Deep Work (Rules for Focused Success in a Distracted World),Anonymous,"January 8, 2017",Verified Purchase,1,"









  
  
    
  Newport starts out with a good (albeit obvious) idea that one can get much higher quality work done by getting rid of the constant distractions and interruptions surrounding us -- like tv, smart phones, email, and social media. Thereby allowing your mind to become deeply focused on the task at hand. I think we can all remember times when we have achieved this state whether it was writing a paper, building a model, drawing a picture, reading a novel, writing a computer program, putting a puzzle together, etc. We can also all remember how good it felt to be that focused and that productive. So his premise for this book is a good one even if for no other reason than to point out how we have let social media take over so much of our time -- that we have become constantly `on call' and therefore don't think as deeply about things anymore. That we should force ourselves to disconnect once in a while.The problem with Newport's book is that the above ideas are not enough material for an entire book. So he needs to fill out the book with interesting stories and related facts. This is where Newport gets sloppy, goes off the rails, and ruins the book. He contradicts himself over and over. Starting out by saying one needs time isolated, undistracted, alone, to be totally focussed on a task for several hours at a minimum, and then contradicting this by saying we should work in teams, or first that we ignore the smart phone and later put a stop watch phone app on our desk which we can constantly glance at to make sure we stay there for a certain time, etc. He even inserts bizarre asides that are completely irrelevant to his `deep work' topic such as card memorization tricks that have nothing to do with deeply  concentrating on a task and entering the `deep work' state. Newport's editors at the publishing company clearly didn't bother pointing out the many contradictions, irrelevant distractions, and non-sequiturs riddled throughout this book.`Deep Work', as Newport calls it, is sort of the work analogue of rem sleep, it is a state of concentration that only comes after you work undistracted for a certain amount of time. The amount of time needed to achieve this state differs between people and you get better at it with practice. In fact, contrary to what Newport says, some people can do it without the isolation. They can simply put their phone in airplane mode and shut everything out. Like the guy on the subway reading or writing who is completely oblivious to everything around him. A bomb could go off and he wouldn't even notice. In other words, contrary to Newport's initial (contradicted later) premise, we don't need to retreat to a proverbial `mountain shack' to achieve this productive state. In fact, I am in the state now, writing this. Yes, the mountain shack helps, but it is not required.It became clear by the end of the book that Newport has decided to write Malcolm Gladwell type `techno self help books' for two reasons: 1) to pad his resume, and 2) to make money.The first is clear by the importance he places on the number of books and articles people pump out (falling in to the `publish or perish' trap of academia) repeating yearly publication rates over and over for himself and others -- quantity not quality; and the second is clear by the importance he places on riches and rich people. How rich you will get, how irreplaceable and therefore highly paid you will be, etc., if you are a deep worker guy. Although this may just be his awareness of the values driving his target audience -- i.e. tech entry level programmers types or software sales types who went into CS or business school to make money. In otherwords the type of high level software tech guy who idolizes Bill Gates and has never heard of Dennis Richie or Richard Stallman. (Newport himself not have heard of them either)It is also annoying that he talks forcefully about deleting your twitter or your facebook account and then reveals later that he has never even had a facebook account! That is like complaining about the number of people addicted to `game of thrones', saying it is a worthless waste of time and they should stop watching it, only to reveal he has never seen an episode of the show!Look, I agree that social media is a distraction and one should not allow it to constantly interrupt your concentration throughout the day, but lets not start deleting every modern tool just because they can be addicting. Instead learn moderation! Alcohol can be addjcting too, but there are 10 people who enjoy relaxing with a scotch or glass of wine in the evening for every addicted alcoholic. Facebook provides pleasure and relaxation to people -- which is exactly why it can be addicting. The secret is moderation, not elimination.Also, all of his talk about how long your mind can remain in `deep work' mode per day is pure made up nonsense. Four hours? He has no clue. Nor should he. In fact, it is likely different for different people and completely dependent on how long you have practiced it. People have gone for weeks, months, or even longer in that state (when proving Fermat's Last Theorem, Andrew Wiles went for 7 years!) Isaac Newton for example, would work so hard on a problem that he would forget to eat, he would dream about it, and it would totally consume him for weeks at a time. I heard a story, written by a fellow Cambridge professor and fellow member of the Royal Society who said Newton would emerge from his rooms, ostensibly to get some dinner, and would walk a certain distance lost in thought and completely oblivious to his surroundings. He would then suddenly  stop and look around. Clearly having forgotten why he had left his rooms and he would then turn around, go back to his rooms, and continue working. Now that is what I call prolonged `deep work' -- forget about social media, not even hunger could interrupt Newton .Anyway, I could go on but I won't bore you with further complaints.Read ""On Writing"" by Stephen King and you will get a much more substantial and informative discussion of how to work, to create, and to go 'deep'. King's version of ""deep work"" is outlined beginning on page 151 (sections 2, 3, and 4 of the part entitled 'on writing') and I think he really nails it. Stephen King is both prolific and humble (he is also filthy rich for those of you who think that fact is important), and he certainly proven he knows how to achieve deep concentration. Search ""22 lessons by Stephen King"" sometime. They apply equally well to any 'deep' creative task in my opinion.Summary: Make time in your life to go distraction free when you have an important creative endeavour to work on. Put your devices in airplane mode and retreat to your proverbial `mountain shack'. Do it as often, as for as long, as it takes to finish that creative endeavour. Then turn your devices back on and rejoin the rest of us out here in social media land. Tell us about your cool creation so that we can enjoy it as well and we can compliment you on how cool it is and how much hard work you did to accomplish it. However, don't brag too much or toot your own horn too much okay? Let us do that. Your creation shows your value without needing adornments about your publication rate, your million tasks accomplished -- and with children in their terrible twos!, your MIT education, your Georgetown professorial eliteness, and the rest. All that tooting just makes you look insecure.In fact, by the end of Newport's book, it made me want to read a book written by his wife. I bet she would tell a revealing tale.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Loves to Read,"February 12, 2019",Verified Purchase,3,"









  
  
    
  On page 136, the author says, ""I discovered the gap between what and how was relevant to my personal quest to work more deeply."" The first 135 pages of this book are the 'what'. I'll sum it up for you and save you some time: We're all distracted because our brains like distraction and also because our bosses like us to look busy."" Pretty sure we all knew that by now. You still have to mine through the next 120 or so pages to get to the 'how' nuggets of deep work.  The 'rules' that are mentioned in the title. I'll give you some hints - routine helps, facebook sucks, and boredom is the birthplace of creativity. I wanted to love this book. I'm a writer, and staying focused is tough. But I felt a lot of this book was redundant and finding the nuggets of help and inspiration was annoying.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Wally Bock,"August 23, 2016",Verified Purchase,4,"









  
  
    
  Cal Newport gives us a very specific definition for the Ã¢â‚¬Å“Deep WorkÃ¢â‚¬Â in his title. Here it is.Ã¢â‚¬Å“Professional activities performed in a state of distraction-free concentration that push your cognitive capabilities to their limit. These efforts create new value, improve your skill, and are hard to replicate.Ã¢â‚¬ÂDeep Work: Rules for Focused Success in a Distracted World is based on what the Cal Newport calls his Deep Work Hypothesis:Ã¢â‚¬Å“The ability to perform deep work is becoming increasingly rare at exactly the same time it is becoming increasingly valuable in our economy. As a consequence, the few who cultivate this skill, and then make it the core of their working life, will thrive.Ã¢â‚¬ÂWhy do the hard work of deep work?Newport believes that the ability to do deep work will help you master hard things quickly and perform at an elite level. And he thinks that those skills are key to success in the coming decades. This book is about wringing the most value you can out of your time by spending some of it on deep work.Not a new idea, but an important onePeople have been writing about working in long, uninterrupted stretches of time for quite a while. YouÃ¢â‚¬â„¢ll find it in Peter DruckerÃ¢â‚¬â„¢s book, The Effective Executive, written in the 1960s. Then it might make you more successful. Today, Newport thinks itÃ¢â‚¬â„¢s a survival skill. He thinks that the world will be divided into two kinds of performers in the future. One group will not master deep work and will slide down the performance curve. The other group will master deep work and will be more successful and more satisfied.An important idea that pushes back against our work cultureWhat Newport is calling for in terms of concentration and effort goes against the grain of the current work culture. Today we think that being connected 24 hours a day and 7 days a week is normal. We donÃ¢â‚¬â„¢t see anything strange about a person stopping in the middle of a dinner conversation to check email. Yet, thatÃ¢â‚¬â„¢s exactly the opposite of the behavior that Newport recommends.How to get the deep work doneThe author suggests six strategies for getting the deep work done. I found those interesting reading but not particularly helpful, with one exception. ThatÃ¢â‚¬â„¢s the advice to: Ã¢â‚¬Å“Decide on your in-depth philosophy.Ã¢â‚¬ÂThat will be particularly helpful for you because it gives you different ways to approach the idea of doing deep work, no matter what kind of situation youÃ¢â‚¬â„¢re in. My only quibble here is that I donÃ¢â‚¬â„¢t think you just decide and do it. I think youÃ¢â‚¬â„¢ll try things out, find what works, and maybe combine the philosophies so that they work best for you.After going through some of the basics, Newport defines the problem accurately by noting that it is a problem of execution, not a problem of understanding. Knowing that deep work is important and understanding how it works wonÃ¢â‚¬â„¢t make a pinch of difference without an execution strategy.He recommends the strategy from a 2012 book called The 4 Disciplines of Execution: Achieving Your Wildly Important Goals. That book lays out four specific disciplines that Newport applies one after another to the process of doing deep work.Focus on the wildly important. Not just Ã¢â‚¬Å“important,Ã¢â‚¬Â Ã¢â‚¬Å“wildly important.Ã¢â‚¬Â Pick one or two things that will make the biggest difference for you and work on those. As many authors have said, you will accomplish more with a few goals that you concentrate on rather than with many goals that distract you and suck up your energy.Act on the lead measures. Measure what you need to do to get the results you want. Do that and the results will take care of themselves.Keep a compelling scoreboard. Keeping score and keeping records keeps you honest and helps you make more progress.Create a cadence of accountability. This is a lot like scrum. DonÃ¢â‚¬â„¢t just do deep work. Have someone or a team that youÃ¢â‚¬â„¢re accountable to and to whom you report regularly.Is this book for you?This is a good book, especially if you are new to the idea of what deep work represents: long, uninterrupted stretches of work that push you to your limits. The material on execution includes ways to work in teams and to mix creativity and innovation to produce more and better work.There are some things that you should be aware of before you consider buying the book. The first part of the book seems very helpful, but then effectiveness tails off. ThatÃ¢â‚¬â„¢s not unusual in business books, which tend to start strong and then peter out. This one keeps going, but the second half of the book is not nearly as sharp or as helpful as the first.There are lots of powerful insights in the book. Even if you donÃ¢â‚¬â„¢t buy the entire process, or if you buy it but donÃ¢â‚¬â„¢t entirely put it to work, youÃ¢â‚¬â„¢ll pick up some tips and tricks that will make you more productive. ThereÃ¢â‚¬â„¢s one, for example, about not taking breaks from the distractions, i.e. checking your email. Instead, take breaks from your deep work. You work, you take a break and you do the distractions then.There was another one that was particularly helpful for me about developing a shut-down ritual at the end of the day. IÃ¢â‚¬â„¢ve been working on things in a kind of deep work way for years, itÃ¢â‚¬â„¢s what writers do. What I had not mastered was the ability to shift from my work day to home without a fairly long transition period. The close-out ritual has helped with that, though IÃ¢â‚¬â„¢m still struggling to master it. The problem is with me, not the concept.On a personal note, I would have liked the book better if there were more business examples as opposed to academic examples of ways to make this work. In fact, IÃ¢â‚¬â„¢d have preferred more examples from someone other than Cal Newport.Bottom lineThis will be a good book for you if you want to improve the amount and quality of your personal work. It will help you get things done with teams. It will give you a number of productivity tips, whether you go for the whole book or not.On the downside, the book is probably longer than it needs to be. The most important Ã¢â‚¬Å“downsideÃ¢â‚¬Â has nothing to do with the book. If you donÃ¢â‚¬â„¢t put what you learn to work, it will have no value for you. In the case of deep work, that means making changes to your work routines and habits. It will take you months or years, not days or weeks, to get the value thatÃ¢â‚¬â„¢s here for the taking.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Sociologist of religion,"December 6, 2018",Verified Purchase,2,"









  
  
    
  If you've never heard that concentration on a task leads to better outcomes, by all means buy the book.If you're searching for strategies to accomplish concentration, you might find help here, but you'll be trawling through an ocean of tangentially relevant opinions.If you are curious about the author's psychology and life world, there's an abundance of insight.But for most of us there's little new here and very little that's applicable outside of common sense: if you're distracted, you loose concentration. If you've lost concentration, it will be harder to deliver results. To deliver results, set time aside, even if it's only 30 minutes a day. And go work hard.But please don't spend money on this book!

  
"
Deep Work (Rules for Focused Success in a Distracted World),Anonymous Was Taken,"September 17, 2017",Verified Purchase,5,"









  
  
    
  Ordered this 48 hours ago on a whim and...it has consumed me.First off, howdy Cal! We're neighbors! Loved the recommendation for Smith Meadows grass fed meat.Love the vernacular as well. Cal is an outstanding writer, and from one writer to another, superbly impressed by this.  Favorite word I think is heuristic.I purchased the kindle version and actually got so, so much from this book that I copied into ""Notes"" for personal review that eventually I got a message error saying ""copy limit reached""!There is just so much use included in this book, backed by an entirely action-driven plan complete with science-backed evidence. Cal stays clear more or less of the political and philosophical debates (he dabbles, but not much at all)I'm not a fan of people including summaries in their review, I think that's wildly unethical actually, so all I will say is you're looking for a way to become more efficient and successful, this book is not to be missed. Only regret not reading it sooner.P.s. During the reading thought of the potentiality of using Pavlovian cues to start/end blocks of deep work...perhaps a series of bells or sounds, each individual to the start or end of a particular area of deep work. This could potentially help the mind become more accustomed to the start and stop of said work.Love, love, love this book. Will re-read often! Thanks, Cal!

  
"
Deep Work (Rules for Focused Success in a Distracted World),Roger Ngo,"August 1, 2017",Verified Purchase,5,"









  
  
    
  I came across Deep Work as a recommendation by someone on Hacker News. It was a thread on the best books read recently, and I forget which exactlyÃ¢â‚¬Â¦ so I canÃ¢â‚¬â„¢t post the referral link hereÃ¢â‚¬Â¦The reason why I decided to get this book was mostly that I wanted to take a break from the glut of technical reading I had been doing at the time. I also tend to like to read self help books, so itÃ¢â‚¬â„¢s very fitting that I had gone with this particular piece.Deep Work definitely resonated with me as with all self-help books tend to do IF you already buy into everything a self-help books already suggests. As it turns out, I had already practiced most of the philosophies Professor Cal already advises.In summary, the deep work philosophy requires one to be very disciplined with their limited time and use that time effectively to get non-trivial work done. The non-trivial work in this case tends to be work that does not give one immediate satisfaction of productivity, but rather a sense of satisfaction of working towards a bigger goal or completed work with more meaning.How that gets done is mentioned by Newport in that to become effective and deep work we must:We live in an economy where we now need to possess a certain set of qualities to be successful. There are 3 categories: First the people who can use their tools effectively to do more than the people who are in the same position to innovate. Second, the people who possess highly technical skills who are sought after to contribute to the economic machine and finally the people who have enough capital to use to get things done. Most people can work to bring themselves into the first two categories.Treat our task and job as if completing it brings innovation to the world. Become a craftsman at what you do.Gauge whether or not the use of social media is actually necessary. They tend to be distractions.Plan and schedule effectively. Know when you are productive and take advantage of that time.We can only be productive for so long. (1Ã¢â‚¬â€œ4 hours) Knowing this fact will let us know when to call it quits.Know when to call it quits. DonÃ¢â‚¬â„¢t stress about the things that can happen after the work day. Just create a game plan for how to solve the outstanding issues for the next time you pick up your tasks again and come to admit that you are Ã¢â‚¬Å“at a good placeÃ¢â‚¬Â.Deep Work: LEARN NEW THINGS QUICKLY and BECOME AN EXPERT AT NEW THINGS.I highly recommend this book for anyone who wants to become more productive, or needs confirmation if one already believes they are productive. For me, it was the latter. I wanted to make sure that I was on the right track personally for my own growth. This book did just that.If youÃ¢â‚¬â„¢re not into self-help books, I would probably go to the local book store and give this one a skim anyway. :)

  
"
Deep Work (Rules for Focused Success in a Distracted World),TennisAce,"December 11, 2017",Verified Purchase,5,"









  
  
    
  Simply put, one of the best books on my shelf to date. This book is exactly what youÃ¢â‚¬â„¢d expect from Cal Newport, and in my opinion went above my expectations after I read it. I like how he incorporates both science and old-world philosophy into a well-written presentation that keeps the reader eager to turn the page. ItÃ¢â‚¬â„¢s amazing how much you can start implementing what you read in here to real life to change your own ways of focus/habit/elimination of distraction all in one. I am glad I listened to all the good reviews I read, and now I leave you with a 5-Star review as well. Recommend to people wanting to go deeper in their work or for those who struggle to just get things done efficiently. This could help so many people, so why not give it a try? Take my word for it. Besides, itÃ¢â‚¬â„¢s a pretty inexpensive book too.

  
"
Deep Work (Rules for Focused Success in a Distracted World),kerri,"November 11, 2019",Verified Purchase,3,"









  
  
    
  I'm happy to see that only the first third of the book was dedicated to the theory supporting his ideas. The advice offered was good but mostly applies to persons who have already achieved some autonomy in their professional lives or have external support. This book could be better if more information was provided from people from other walks of life. We are not all on a tenure track for professor. Neither are we Bill Gates or some other tech guru. What are the strategies for a regular kid who has to earn a living through school to achieve deep work? A single mom? He mentioned J.K. Rowling as an example, but not the strategies employed by the struggling J.K. Rowling (a more valuable lesson I'm sure). He described how the rich version could afford to sequester herself  in a fancy hotel and write. I'm more interested in how she managed the deep work on her first book when she was probably scared and desperate. I'm more interested in how people with challenges employ deep work and succeed. I'm not really interested in knowing yet again how people who have support and can take extended lunch breaks achieve deep work. Also, the advice on how to manage email and social media was not very nuanced. A little more research into strategies employed by people who need to read (and answer!) their email and maintain a social media presence would have improved this book as well.

  
"
